,,,,ttfb,ttfb,ttfb,ttfb,ttfb,total_time,total_time,total_time,total_time,total_time,bytes,bytes,bytes,bytes,bytes,throughput,throughput,throughput,throughput,throughput
,,,,mean,std,median,q1,q3,mean,std,median,q1,q3,mean,std,median,q1,q3,mean,std,median,q1,q3
scenario,protocol,test_type,file,,,,,,,,,,,,,,,,,,,,
Baseline,gopher-modern,multi,10_files,1.4642874399820964,0.36340422216115714,1.2843608856201172,1.2551546096801758,1.5834569931030273,394.14652188618976,0.49000362312054413,394.2093849182129,393.9187526702881,394.405722618103,10240.0,0.0,10240.0,10240.0,10240.0,207.84170322149373,0.2584501486830997,207.8083453467148,207.7049484903718,207.9617790152262
Baseline,gopher-modern,single,1kb.txt,2.4324258168538413,0.14049680030012335,2.386331558227539,2.353549003601074,2.488255500793457,3.6210219065348306,0.13732213371313626,3.5567283630371094,3.542184829711914,3.6677122116088867,1024.0,0.0,1024.0,1024.0,1024.0,2264.4718203879224,84.13345406791574,2303.240271350047,2235.5919436124327,2312.7359226444746
Baseline,gopher-modern,single,1mb.txt,2.5021235148111978,0.27973077254664347,2.553224563598633,2.3767948150634766,2.6530027389526367,25.85013707478841,1.086138657718931,26.079893112182617,25.37369728088379,26.441454887390137,1048576.0,0.0,1048576.0,1048576.0,1048576.0,324896.7081184261,13835.970100681348,321650.39802565204,317311.4651969214,330858.79599354375
Baseline,gopher-original,multi,10_files,2.3494561513264975,0.013449710280202271,2.352237701416016,2.3435354232788086,2.3567676544189453,24.268388748168945,0.08919627477655569,24.29962158203125,24.233698844909668,24.318695068359375,10240.0,0.0,10240.0,10240.0,10240.0,3375.6150794097193,12.427849142462325,3371.2459152276297,3368.6038729743163,3380.4417037540775
Baseline,gopher-original,single,1kb.txt,2.2947788238525395,0.06911137356916791,2.3038387298583984,2.262711524963379,2.331376075744629,2.3448467254638667,0.07069141024417444,2.36368179321289,2.3151636123657227,2.383947372436523,1024.0,0.0,1024.0,1024.0,1024.0,3495.761042077698,106.60988947658618,3465.779540851321,3436.5658100924593,3539.965523449748
Baseline,gopher-original,single,1mb.txt,2.556959788004557,0.20980907208867378,2.467632293701172,2.437114715576172,2.63214111328125,15.822649002075195,0.25883837027862755,15.964031219482422,15.74397087097168,15.972018241882324,1048576.0,0.0,1048576.0,1048576.0,1048576.0,530260.0754013597,8756.739505462157,525469.2805763613,525206.64393482,532918.1094554001
Baseline,http/1.1,multi,10_files,4.938522974650065,0.07654325659252949,4.981517791748047,4.915833473205566,4.982709884643555,50.42449633280436,0.8686106278361356,50.35924911499024,49.974799156188965,50.8415699005127,10240.0,0.0,10240.0,10240.0,10240.0,1624.928062816339,27.941030793751896,1626.7121023378247,1611.4249320058225,1639.3232133875981
Baseline,http/1.1,single,1kb.txt,5.289713541666667,0.5779688459609843,5.017280578613281,4.957795143127441,5.485415458679199,5.296627680460612,0.5826806343957329,5.021333694458008,4.961967468261719,5.493640899658203,1024.0,0.0,1024.0,1024.0,1024.0,1558.505006261085,161.7536155273099,1631.4390754475096,1502.2826670048162,1651.194380110566
Baseline,http/1.1,single,1mb.txt,4.213571548461914,0.2944656705886692,4.120588302612305,4.048705101013184,4.33194637298584,17.955303192138672,0.3814426054850225,17.899513244628906,17.75217056274414,18.13054084777832,1048576.0,0.0,1048576.0,1048576.0,1048576.0,467333.8804773001,9884.896052628477,468650.0624544728,462753.44741670846,472572.404526478
Baseline,http/2,multi,10_files,24.610598882039387,3.34435437724741,26.34549140930176,23.550391197204593,26.53825283050537,32.5013001759847,0.23697827323410187,32.55653381347656,32.39905834197998,32.63115882873535,10240.0,0.0,10240.0,10240.0,10240.0,2520.604103840062,18.42334067785275,2516.23838303357,2510.497064353537,2528.528282923341
Baseline,http/2,single,1kb.txt,9.401957194010418,0.33690631817134276,9.556055068969728,9.285807609558105,9.595155715942385,9.809494018554688,0.5370484736341119,9.886741638183594,9.562373161315918,10.09523868560791,1024.0,0.0,1024.0,1024.0,1024.0,836.8024789403657,46.40903084689871,828.5844113051028,811.8179289558811,857.6779951072189
Baseline,http/2,single,1mb.txt,9.782632191975912,1.232022588192273,9.37795639038086,9.090900421142578,10.272026062011719,54.93887265523275,11.470640061246074,50.97031593322754,48.474907875061035,59.418559074401855,1048576.0,0.0,1048576.0,1048576.0,1048576.0,156874.8826072902,30166.122492484996,164578.301044657,144091.1488937408,173510.32553952304
Baseline,http/3,multi,10_files,1.7172495524088542,0.18838528021519005,1.636028289794922,1.6095638275146484,1.7843246459960938,106.72116279602051,0.6075151014078668,106.51493072509766,106.37927055358887,106.95993900299072,10240.0,0.0,10240.0,10240.0,10240.0,767.6243691630997,4.358586456730139,769.0940550994279,765.9074866064279,770.0760946879354
Baseline,http/3,single,1kb.txt,2.160310745239258,0.11483437730602396,2.1712779998779297,2.105832099914551,2.220273017883301,119.19713020324707,3.674887389171808,121.16575241088869,118.06154251098633,121.31702899932861,1024.0,0.0,1024.0,1024.0,1024.0,68.77084890173845,2.1583694064296273,67.60986365371522,67.52566235141721,69.43554282804807
Baseline,http/3,single,1mb.txt,3.9405028025309243,0.23295951630441178,3.986835479736328,3.8373470306396484,4.066824913024902,191.14073117574057,18.149574839314653,184.3771934509277,180.86063861846924,198.03905487060547,1048576.0,0.0,1048576.0,1048576.0,1048576.0,44141.03793332974,4013.8693016058287,45496.993651943405,42560.900444710845,46399.153281255465
