,,,,ttfb,ttfb,ttfb,ttfb,ttfb,total_time,total_time,total_time,total_time,total_time,bytes,bytes,bytes,bytes,bytes,throughput,throughput,throughput,throughput,throughput
,,,,mean,std,median,q1,q3,mean,std,median,q1,q3,mean,std,median,q1,q3,mean,std,median,q1,q3
scenario,protocol,test_type,file,,,,,,,,,,,,,,,,,,,,
Baseline,gopher-modern,multi,10_files,7.87806510925293,,7.87806510925293,7.87806510925293,7.87806510925293,642.1453952789307,,642.1453952789307,642.1453952789307,642.1453952789307,10240.0,,10240.0,10240.0,10240.0,127.57235448899569,,127.57235448899569,127.57235448899569,127.57235448899569
Baseline,gopher-modern,single,1kb.txt,15.799999237060549,,15.799999237060549,15.799999237060549,15.799999237060549,73.76313209533691,,73.76313209533691,73.76313209533691,73.76313209533691,1024.0,,1024.0,1024.0,1024.0,111.05819082373095,,111.05819082373095,111.05819082373095,111.05819082373095
Baseline,gopher-modern,single,1mb.txt,16.391515731811523,,16.391515731811523,16.391515731811523,16.391515731811523,107.26428031921388,,107.26428031921388,107.26428031921388,107.26428031921388,1048576.0,,1048576.0,1048576.0,1048576.0,78205.04621888913,,78205.04621888913,78205.04621888913,78205.04621888913
Baseline,gopher-original,multi,10_files,15.212774276733398,,15.212774276733398,15.212774276733398,15.212774276733398,157.26923942565918,,157.26923942565918,157.26923942565918,157.26923942565918,10240.0,,10240.0,10240.0,10240.0,520.8901645303843,,520.8901645303843,520.8901645303843,520.8901645303843
Baseline,gopher-original,single,1kb.txt,17.39335060119629,,17.39335060119629,17.39335060119629,17.39335060119629,17.400503158569336,,17.400503158569336,17.400503158569336,17.400503158569336,1024.0,,1024.0,1024.0,1024.0,470.7909837633421,,470.7909837633421,470.7909837633421,470.7909837633421
Baseline,gopher-original,single,1mb.txt,16.09349250793457,,16.09349250793457,16.09349250793457,16.09349250793457,102.4637222290039,,102.4637222290039,102.4637222290039,102.4637222290039,1048576.0,,1048576.0,1048576.0,1048576.0,81869.05391990022,,81869.05391990022,81869.05391990022,81869.05391990022
Baseline,http/1.1,multi,10_files,27.16231346130371,,27.16231346130371,27.16231346130371,27.16231346130371,274.57714080810547,,274.57714080810547,274.57714080810547,274.57714080810547,10240.0,,10240.0,10240.0,10240.0,298.349672368581,,298.349672368581,298.349672368581,298.349672368581
Baseline,http/1.1,single,1kb.txt,28.56922149658203,,28.56922149658203,28.56922149658203,28.56922149658203,28.576135635375977,,28.576135635375977,28.576135635375977,28.576135635375977,1024.0,,1024.0,1024.0,1024.0,286.67277145264774,,286.67277145264774,286.67277145264774,286.67277145264774
Baseline,http/1.1,single,1mb.txt,17.456769943237305,,17.456769943237305,17.456769943237305,17.456769943237305,109.21788215637208,,109.21788215637208,109.21788215637208,109.21788215637208,1048576.0,,1048576.0,1048576.0,1048576.0,76806.1771055921,,76806.1771055921,76806.1771055921,76806.1771055921
Baseline,http/2,multi,10_files,50.09865760803223,,50.09865760803223,50.09865760803223,50.09865760803223,68.12405586242676,,68.12405586242676,68.12405586242676,68.12405586242676,10240.0,,10240.0,10240.0,10240.0,1202.5120783388688,,1202.5120783388688,1202.5120783388688,1202.5120783388688
Baseline,http/2,single,1kb.txt,35.7661247253418,,35.7661247253418,35.7661247253418,35.7661247253418,36.65518760681152,,36.65518760681152,36.65518760681152,36.65518760681152,1024.0,,1024.0,1024.0,1024.0,223.488148195365,,223.488148195365,223.488148195365,223.488148195365
Baseline,http/2,single,1mb.txt,32.05132484436035,,32.05132484436035,32.05132484436035,32.05132484436035,159.912109375,,159.912109375,159.912109375,159.912109375,1048576.0,,1048576.0,1048576.0,1048576.0,52457.61582900764,,52457.61582900764,52457.61582900764,52457.61582900764
Baseline,http/3,multi,10_files,8.345365524291992,,8.345365524291992,8.345365524291992,8.345365524291992,235.548734664917,,235.548734664917,235.548734664917,235.548734664917,10240.0,,10240.0,10240.0,10240.0,347.7836555417561,,347.7836555417561,347.7836555417561,347.7836555417561
Baseline,http/3,single,1kb.txt,9.851455688476562,,9.851455688476562,9.851455688476562,9.851455688476562,174.1347312927246,,174.1347312927246,174.1347312927246,174.1347312927246,1024.0,,1024.0,1024.0,1024.0,47.04403273939105,,47.04403273939105,47.04403273939105,47.04403273939105
Baseline,http/3,single,1mb.txt,10.029077529907228,,10.029077529907228,10.029077529907228,10.029077529907228,359.36713218688965,,359.36713218688965,359.36713218688965,359.36713218688965,1048576.0,,1048576.0,1048576.0,1048576.0,23342.72460854179,,23342.72460854179,23342.72460854179,23342.72460854179
High_Latency,gopher-modern,multi,10_files,7.536649703979492,,7.536649703979492,7.536649703979492,7.536649703979492,628.5247802734375,,628.5247802734375,628.5247802734375,628.5247802734375,10240.0,,10240.0,10240.0,10240.0,130.33694544924862,,130.33694544924862,130.33694544924862,130.33694544924862
High_Latency,gopher-modern,single,1kb.txt,17.297983169555664,,17.297983169555664,17.297983169555664,17.297983169555664,77.69203186035156,,77.69203186035156,77.69203186035156,77.69203186035156,1024.0,,1024.0,1024.0,1024.0,105.44195851029878,,105.44195851029878,105.44195851029878,105.44195851029878
High_Latency,gopher-modern,single,1mb.txt,14.775514602661133,,14.775514602661133,14.775514602661133,14.775514602661133,109.64441299438477,,109.64441299438477,109.64441299438477,109.64441299438477,1048576.0,,1048576.0,1048576.0,1048576.0,76507.39121955632,,76507.39121955632,76507.39121955632,76507.39121955632
High_Latency,gopher-original,multi,10_files,15.900611877441406,,15.900611877441406,15.900611877441406,15.900611877441406,160.7666015625,,160.7666015625,160.7666015625,160.7666015625,10240.0,,10240.0,10240.0,10240.0,509.5585725132878,,509.5585725132878,509.5585725132878,509.5585725132878
High_Latency,gopher-original,single,1kb.txt,16.748666763305664,,16.748666763305664,16.748666763305664,16.748666763305664,16.760587692260742,,16.760587692260742,16.760587692260742,16.760587692260742,1024.0,,1024.0,1024.0,1024.0,488.7656775772059,,488.7656775772059,488.7656775772059,488.7656775772059
High_Latency,gopher-original,single,1mb.txt,15.238523483276367,,15.238523483276367,15.238523483276367,15.238523483276367,109.56907272338869,,109.56907272338869,109.56907272338869,109.56907272338869,1048576.0,,1048576.0,1048576.0,1048576.0,76559.99810436803,,76559.99810436803,76559.99810436803,76559.99810436803
High_Latency,http/1.1,multi,10_files,26.328086853027344,,26.328086853027344,26.328086853027344,26.328086853027344,284.6484184265137,,284.6484184265137,284.6484184265137,284.6484184265137,10240.0,,10240.0,10240.0,10240.0,287.7936243343256,,287.7936243343256,287.7936243343256,287.7936243343256
High_Latency,http/1.1,single,1kb.txt,27.181625366210938,,27.181625366210938,27.181625366210938,27.181625366210938,27.185678482055664,,27.185678482055664,27.185678482055664,27.185678482055664,1024.0,,1024.0,1024.0,1024.0,301.3351314887086,,301.3351314887086,301.3351314887086,301.3351314887086
High_Latency,http/1.1,single,1mb.txt,18.33033561706543,,18.33033561706543,18.33033561706543,18.33033561706543,100.5418300628662,,100.5418300628662,100.5418300628662,100.5418300628662,1048576.0,,1048576.0,1048576.0,1048576.0,83434.00945412292,,83434.00945412292,83434.00945412292,83434.00945412292
High_Latency,http/2,multi,10_files,51.00774765014648,,51.00774765014648,51.00774765014648,51.00774765014648,68.00365447998047,,68.00365447998047,68.00365447998047,68.00365447998047,10240.0,,10240.0,10240.0,10240.0,1204.6411421038608,,1204.6411421038608,1204.6411421038608,1204.6411421038608
