timestamp,protocol,test_type,file,scenario,ttfb,total_time,bytes,throughput,num_files
2026-03-16T12:33:04.571291,gopher-original,single,1kb.txt,Mixed,106.74548149108887,106.89973831176758,1024,76.63255429221402,1
2026-03-16T12:33:04.684429,gopher-original,single,1kb.txt,Mixed,112.7626895904541,112.79034614562988,1024,72.6303294558814,1
2026-03-16T12:33:04.789985,gopher-original,single,1kb.txt,Mixed,104.66623306274414,104.69460487365723,1024,78.24662989927606,1
2026-03-16T12:33:07.167341,gopher-original,single,1mb.txt,Mixed,119.3687915802002,2374.8059272766113,1048576,3532.3341177693283,1
2026-03-16T12:33:08.649568,gopher-original,single,1mb.txt,Mixed,122.00570106506348,1481.191873550415,1048576,5663.417515174801,1
2026-03-16T12:33:11.891995,gopher-original,single,1mb.txt,Mixed,112.08319664001465,3241.2028312683105,1048576,2588.115720211643,1
2026-03-16T12:33:13.737196,gopher-original,multi,10_files,Mixed,114.84932899475098,1844.641923904419,10240,44.40970300978843,10
2026-03-16T12:33:14.919503,gopher-original,multi,10_files,Mixed,120.96524238586426,1181.7030906677246,10240,69.32367415042545,10
2026-03-16T12:33:16.107513,gopher-original,multi,10_files,Mixed,134.50884819030762,1187.7996921539307,10240,68.96785757828242,10
2026-03-16T12:33:16.220799,gopher-modern,single,1kb.txt,Mixed,112.22338676452637,112.48230934143066,1024,72.8292301959579,1
2026-03-16T12:33:16.344826,gopher-modern,single,1kb.txt,Mixed,123.59142303466797,123.64912033081055,1024,66.25198770588213,1
2026-03-16T12:33:16.468223,gopher-modern,single,1kb.txt,Mixed,122.8184700012207,123.07024002075195,1024,66.56361439303828,1
2026-03-16T12:33:18.964795,gopher-modern,single,1mb.txt,Mixed,116.4250373840332,2495.760917663574,1048576,3361.142463859503,1
2026-03-16T12:33:21.875914,gopher-modern,single,1mb.txt,Mixed,104.6760082244873,2910.655975341797,1048576,2882.0334904110164,1
2026-03-16T12:33:24.029312,gopher-modern,single,1mb.txt,Mixed,121.55652046203613,2152.885913848877,1048576,3896.4479938479653,1
2026-03-16T12:33:25.071250,gopher-modern,multi,10_files,Mixed,102.65040397644043,1041.1899089813232,10240,78.67921048154288,10
2026-03-16T12:33:26.565198,gopher-modern,multi,10_files,Mixed,103.91831398010254,1493.443250656128,10240,54.85310537511844,10
2026-03-16T12:33:27.943067,gopher-modern,multi,10_files,Mixed,103.77907752990723,1377.4526119232178,10240,59.472100376376794,10
2026-03-16T12:33:28.072474,http/1.1,single,1kb.txt,Mixed,127.81786918640137,127.82502174377441,1024,64.08760889101107,1
2026-03-16T12:33:28.181152,http/1.1,single,1kb.txt,Mixed,107.87534713745117,107.88369178771973,1024,75.93362689255399,1
2026-03-16T12:33:28.290350,http/1.1,single,1kb.txt,Mixed,108.24871063232422,108.25586318969727,1024,75.67257567975898,1
2026-03-16T12:33:34.531159,http/1.1,single,1mb.txt,Mixed,125.92172622680664,6238.882064819336,1048576,1344.5690931237239,1
2026-03-16T12:33:36.474346,http/1.1,single,1mb.txt,Mixed,112.18118667602539,1942.1124458312988,1048576,4319.321478015323,1
2026-03-16T12:33:40.011004,http/1.1,single,1mb.txt,Mixed,111.09805107116699,3535.4506969451904,1048576,2372.71248252682,1
2026-03-16T12:33:41.995201,http/1.1,multi,10_files,Mixed,107.41209983825684,1983.140468597412,10240,41.30821860437269,10
2026-03-16T12:33:43.200001,http/1.1,multi,10_files,Mixed,119.8740005493164,1204.373836517334,10240,68.0187475982429,10
2026-03-16T12:33:44.358233,http/1.1,multi,10_files,Mixed,108.44826698303223,1157.8929424285889,10240,70.74920055059604,10
2026-03-16T12:33:44.584613,http/2,single,1kb.txt,Mixed,225.3549098968506,225.82125663757324,1024,36.27647867156973,1
2026-03-16T12:33:44.808283,http/2,single,1kb.txt,Mixed,222.22518920898438,222.84579277038574,1024,36.76084658434999,1
2026-03-16T12:33:45.038150,http/2,single,1kb.txt,Mixed,228.66559028625488,229.28595542907715,1024,35.728311333634885,1
2026-03-16T12:33:47.150129,http/2,single,1mb.txt,Mixed,232.18441009521484,2110.6042861938477,1048576,3974.5053371077784,1
2026-03-16T12:33:51.853140,http/2,single,1mb.txt,Mixed,222.28622436523438,4702.10862159729,1048576,1784.0098294348672,1
2026-03-16T12:33:53.036661,http/2,single,1mb.txt,Mixed,1072.5176334381104,1182.7750205993652,1048576,7092.310755556129,1
2026-03-16T12:33:53.998066,http/2,multi,10_files,Mixed,224.87306594848633,959.3732357025146,10240,85.38908211256583,10
2026-03-16T12:33:54.338882,http/2,multi,10_files,Mixed,223.10614585876465,338.7413024902344,10240,241.83646752778748,10
2026-03-16T12:33:54.693910,http/2,multi,10_files,Mixed,228.9721965789795,353.0690670013428,10240,232.02259177150867,10
