,,,,ttfb,ttfb,ttfb,ttfb,ttfb,total_time,total_time,total_time,total_time,total_time,bytes,bytes,bytes,bytes,bytes,throughput,throughput,throughput,throughput,throughput
,,,,mean,std,median,q1,q3,mean,std,median,q1,q3,mean,std,median,q1,q3,mean,std,median,q1,q3
scenario,protocol,test_type,file,,,,,,,,,,,,,,,,,,,,
Baseline,gopher-modern,multi,10_files,0.22133191426595047,0.03547099069481164,0.2050399780273437,0.20098686218261713,0.23353099822998044,1.3649463653564453,0.12153900085611033,1.330852508544922,1.2974739074707031,1.4153718948364258,10240.0,0.0,10240.0,10240.0,10240.0,60325.68722729493,5203.951623915769,61554.52950197062,58085.91072777755,63179.88486415015
Baseline,gopher-modern,single,1kb.txt,0.3382364908854167,0.04570076414667585,0.3359317779541015,0.3148317337036133,0.36048889160156244,0.3592173258463542,0.04913409149282001,0.3449916839599609,0.33187866210937494,0.3794431686401367,1024.0,0.0,1024.0,1024.0,1024.0,23079.035697501797,3009.198342527688,23745.49990877678,21768.98796360498,24722.31553703611
Baseline,gopher-modern,single,1mb.txt,0.31900405883789057,0.047839030997241044,0.2951622009277344,0.29146671295166016,0.33462047576904297,4.229307174682617,0.2762520386078565,4.308938980102539,4.115462303161621,4.382967948913574,1048576.0,0.0,1048576.0,1048576.0,1048576.0,1989260.2441364483,133537.8336864942,1946792.0150961103,1914456.5641125143,2042829.8096402131
Baseline,gopher-original,multi,10_files,0.33855438232421875,0.09684109548075494,0.2939701080322265,0.2830028533935547,0.3718137741088867,3.143946329752604,0.48610387190785465,2.950906753540039,2.867460250854492,3.3239126205444336,10240.0,0.0,10240.0,10240.0,10240.0,26448.365346012888,3806.756779683752,27760.95852629878,24959.976995640038,28593.050286528684
Baseline,gopher-original,single,1kb.txt,0.8569558461507162,0.5471932511100243,0.6358623504638672,0.5453824996948242,1.0579824447631836,0.8653799692789713,0.5518878915841435,0.6420612335205078,0.5511045455932617,1.0679960250854492,1024.0,0.0,1024.0,1024.0,1024.0,12015.133749741297,6193.313314027199,12758.907674712216,9121.214000777749,15280.940461190305
Baseline,gopher-original,single,1mb.txt,0.492095947265625,0.048767528148526744,0.4689693450927734,0.4640817642211914,0.5085468292236328,2.151330312093099,0.15952008501086415,2.208948135375977,2.089977264404297,2.24149227142334,1048576.0,0.0,1048576.0,1048576.0,1048576.0,3914140.9312602305,301007.6675885035,3797557.699819968,3743210.1818890152,4026780.0649113148
Baseline,http/1.1,multi,10_files,0.8409023284912109,0.15450480513922357,0.7917881011962891,0.7543563842773438,0.9028911590576171,7.386048634847005,0.30593343402769063,7.391929626464844,7.2345733642578125,7.540464401245117,10240.0,0.0,10240.0,10240.0,10240.0,11103.903429485063,460.8723266938902,11082.356588827248,10868.269514258587,11328.76392438263
Baseline,http/1.1,single,1kb.txt,3.6084651947021484,4.15576306360059,1.2180805206298828,1.2091398239135742,4.81259822845459,3.6110877990722656,4.1557641168229775,1.2211799621582031,1.2117624282836914,4.815459251403809,1024.0,0.0,1024.0,1024.0,1024.0,4831.909194984182,3341.3663292691685,6708.265983600156,3841.1873728847604,6760.80941139159
Baseline,http/1.1,single,1mb.txt,0.8207162221272787,0.07057203365863027,0.8101463317871094,0.783085823059082,0.8530616760253906,1.9946893056233723,0.08511788144761034,1.9679069519042969,1.9470453262329102,2.028942108154297,1048576.0,0.0,1048576.0,1048576.0,1048576.0,4210492.598368931,176543.39567775588,4262705.608048461,4138218.6544025107,4308873.047175116
Baseline,http/2,multi,10_files,0.0,0.0,0.0,0.0,0.0,13.294855753580729,1.7488289678812299,12.38560676574707,12.286782264709473,13.848304748535156,10240.0,0.0,10240.0,10240.0,10240.0,6228.63940505726,762.4654430626896,6614.128927987064,5982.264822765858,6667.758748813563
Baseline,http/2,single,1kb.txt,12.92856534322103,18.22300513527512,2.566814422607422,2.4079084396362305,18.268346786499023,13.161023457845053,18.303174044387692,2.734899520874023,2.593994140625,18.51499080657959,1024.0,0.0,1024.0,1024.0,1024.0,2191.2294196578496,1699.5259505916902,2995.3568449132595,1617.1124564378872,3167.410095505517
Baseline,http/2,single,1mb.txt,2.2840499877929688,0.1502553533129642,2.3200511932373047,2.219557762145996,2.3665428161621094,18.156687418619793,0.4741546357423753,18.27716827392578,17.955541610717773,18.418073654174805,1048576.0,0.0,1048576.0,1048576.0,1048576.0,462224.1836128305,12186.799745024135,458966.5025936864,455481.89013469423,467337.6365813947
Baseline,http/3,multi,10_files,1.588265101114909,0.28406874176763464,1.5790462493896484,1.4439821243286133,1.7279386520385742,107.84737269083661,2.9563199536077054,108.82115364074708,106.67407512664796,109.50756072998048,10240.0,0.0,10240.0,10240.0,10240.0,759.9773882982327,21.090455510371992,752.7948129500974,748.1055935075701,768.2578954148275
Baseline,http/3,single,1kb.txt,2.56196657816569,1.4143887636798873,1.951932907104492,1.7534494400024414,3.06546688079834,117.85006523132324,21.66388230167091,111.22417449951172,105.74853420257568,126.63865089416504,1024.0,0.0,1024.0,1024.0,1024.0,71.00622383803574,12.230958494149403,73.65305282653244,65.66080889739717,77.67505327292264
Baseline,http/3,single,1mb.txt,1.9846757253011067,0.4007752017281329,1.9330978393554688,1.7726421356201172,2.1709203720092773,153.1196435292562,15.190202329734028,144.4869041442871,144.34993267059326,157.57298469543457,1048576.0,0.0,1048576.0,1048576.0,1048576.0,55126.7663266465,5172.697352705897,58057.91223558221,53606.050771038674,58113.054836722185
High_Latency,gopher-modern,multi,10_files,210.84856986999512,0.044958815946058495,210.83784103393555,210.8238935470581,210.86788177490234,2091.4092858632407,5.022743927429706,2091.9649600982666,2089.048385620117,2094.048023223877,10240.0,0.0,10240.0,10240.0,10240.0,39.16991077445012,0.09410804206435941,39.15935570744547,39.12044048385662,39.2141035315413
High_Latency,gopher-modern,single,1kb.txt,210.65076192220053,1.748112228099987,210.52122116088867,209.7461223602295,211.49063110351562,210.75638135274252,1.7392726910589587,210.6621265411377,209.86413955688477,211.60149574279785,1024.0,0.0,1024.0,1024.0,1024.0,38.87128666604124,0.32058262354240064,38.88691401014734,38.715045088007194,39.035341916128345
High_Latency,gopher-modern,single,1mb.txt,207.67935117085776,3.3792787775691764,207.86309242248535,206.0375213623047,209.4130516052246,219.042698542277,3.4434137162209004,218.7130451202393,217.24450588226318,220.67606449127197,1048576.0,0.0,1048576.0,1048576.0,1048576.0,38302.97627499796,600.8597229354157,38354.401747679454,38016.229166796795,38615.43611953987
High_Latency,gopher-original,multi,10_files,209.10167694091797,0.5754459978996831,208.784818649292,208.7695598602295,209.27536487579346,2094.6125984191895,1.2151610025641353,2095.1480865478516,2094.1848754882812,2095.3080654144287,10240.0,0.0,10240.0,10240.0,10240.0,39.10986616240083,0.022696070599950106,39.09986149713099,39.09687641151124,39.11785358065549
High_Latency,gopher-original,single,1kb.txt,210.09333928426108,2.3741875497517007,210.9169960021973,209.1670036315918,211.43150329589844,210.15230814615884,2.4082026244947596,211.02285385131836,209.2263698577881,211.51351928710938,1024.0,0.0,1024.0,1024.0,1024.0,38.98468306994411,0.4491740189108332,38.820439826730265,38.73059326049348,39.156651257787814
